Row,OverallOrder,ChildIntOrder,Child,aclew_id,Media,Status,Include,Sample,CodeName,Notes
68,280,29,M-F13-C01,7220,M-F13-C01_101509_013014_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,
69,7,1,M-F13-C01,7220,M-F13-C01_102649_014154_000500,1-XunPt1,1,random_5mindur_summer2017,random-3,
70,281,30,M-F13-C01,7220,M-F13-C01_103202_014707_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,
71,282,31,M-F13-C01,7220,M-F13-C01_105350_020855_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,
72,283,32,M-F13-C01,7220,M-F13-C01_112911_024416_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,
73,119,12,M-F13-C01,7220,M-F13-C01_113325_024830_000500,0-Pass1,1,random_5mindur_summer2017,random-4,
74,284,33,M-F13-C01,7220,M-F13-C01_125833_041338_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,
75,77,8,M-F13-C01,7220,M-F13-C01_130209_041714_000500,0-Pass1,1,random_5mindur_summer2017,random-5,
76,107,11,M-F13-C01,7220,M-F13-C01_132307_043812_000500,0-Pass1,1,random_5mindur_summer2017,random-6,
77,26,3,M-F13-C01,7220,M-F13-C01_135414_050919_000500,0-Pass1,1,random_5mindur_summer2017,random-7,
78,18,2,M-F13-C01,7220,M-F13-C01_145950_061455_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,
79,285,34,M-F13-C01,7220,M-F13-C01_171244_082749_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,
80,82,9,M-F13-C01,7220,M-F13-C01_171444_082949_000500,0-Pass1,1,random_5mindur_summer2017,random-9,
81,49,5,M-F17-C01,2109,M-F17-C01_095028_005621_000500,0-Pass1,1,random_5mindur_summer2017,random-1,
82,32,4,M-F17-C01,2109,M-F17-C01_095919_010512_000500,0-Pass1,1,random_5mindur_summer2017,random-2,
83,287,25,M-F17-C01,2109,M-F17-C01_100609_011202_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,
84,64,7,M-F17-C01,2109,M-F17-C01_103341_013934_000500,No speech,1,random_5mindur_summer2017,random-3,
85,52,6,M-F17-C01,2109,M-F17-C01_115654_030247_000500,No speech,1,random_5mindur_summer2017,random-4,
86,106,11,M-F17-C01,2109,M-F17-C01_125026_035619_000500,0-Pass1,1,random_5mindur_summer2017,random-5,
87,288,26,M-F17-C01,2109,M-F17-C01_125843_040436_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,
88,289,27,M-F17-C01,2109,M-F17-C01_131200_041753_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,
89,297,35,M-F17-C01,2109,M-F17-C01_131313_041906_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-3,(inclusive) extension of M-F17-C01_131800_042353.mp4
90,290,28,M-F17-C01,2109,M-F17-C01_131800_042353_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-3,dropped because included in extension: M-F17-C01_131313_041906.mp4
91,30,3,M-F17-C01,2109,M-F17-C01_135532_050125_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,
92,291,29,M-F17-C01,2109,M-F17-C01_143018_053611_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,
93,155,16,M-F17-C01,2109,M-F17-C01_151202_061755_000500,0-Pass1,1,random_5mindur_summer2017,random-7,
94,292,30,M-F17-C01,2109,M-F17-C01_151702_062255_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,
95,293,31,M-F17-C01,2109,M-F17-C01_153945_064538_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,
96,294,32,M-F17-C01,2109,M-F17-C01_154329_064922_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,
97,295,33,M-F17-C01,2109,M-F17-C01_155407_070000_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,
98,11,2,M-F17-C01,2109,M-F17-C01_165923_080516_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,
99,296,34,M-F17-C01,2109,M-F17-C01_172605_083158_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,
100,168,17,M-F17-C01,2109,M-F17-C01_174100_084653_000500,1-XunPt1,1,random_5mindur_summer2017,random-9,
101,298,25,M-F19-C01,6216,M-F19-C01_095444_001426_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,
102,207,21,M-F19-C01,6216,M-F19-C01_100625_002607_000500,0-Pass1,1,random_5mindur_summer2017,random-1,
103,62,7,M-F19-C01,6216,M-F19-C01_103621_005603_000500,0-Pass1,1,random_5mindur_summer2017,random-2,
104,299,26,M-F19-C01,6216,M-F19-C01_105444_011426_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,
105,300,27,M-F19-C01,6216,M-F19-C01_112641_014623_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-3,dropped because included in extension: M-F19-C01_112641_014623.mp4
106,308,35,M-F19-C01,6216,M-F19-C01_112641_014623_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-3,(inclusive) extension of M-F19-C01_112641_014623.mp4
107,87,9,M-F19-C01,6216,M-F19-C01_114453_020435_000500,0-Pass1,1,random_5mindur_summer2017,random-3,
108,301,28,M-F19-C01,6216,M-F19-C01_115148_021130_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,
109,302,29,M-F19-C01,6216,M-F19-C01_120818_022800_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,
110,80,8,M-F19-C01,6216,M-F19-C01_133220_035202_000500,0-Pass1,1,random_5mindur_summer2017,random-4,
111,33,4,M-F19-C01,6216,M-F19-C01_133915_035857_000500,No speech,1,random_5mindur_summer2017,random-5,
112,303,30,M-F19-C01,6216,M-F19-C01_141613_043555_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,
113,304,31,M-F19-C01,6216,M-F19-C01_143646_045628_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,
114,15,2,M-F19-C01,6216,M-F19-C01_144426_050408_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,
115,8,1,M-F19-C01,6216,M-F19-C01_145323_051305_000500,1-XunPt1,1,random_5mindur_summer2017,random-7,
116,55,6,M-F19-C01,6216,M-F19-C01_161742_063724_000500,0-Pass1,1,random_5mindur_summer2017,random-8,
117,305,32,M-F19-C01,6216,M-F19-C01_163552_065534_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,
118,306,33,M-F19-C01,6216,M-F19-C01_164243_070225_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,
119,307,34,M-F19-C01,6216,M-F19-C01_171541_073523_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,
120,24,3,M-F19-C01,6216,M-F19-C01_174328_080310_000500,1-XunPt1,1,random_5mindur_summer2017,random-9,
121,170,17,M-F29-C01,8787,M-F29-C01_092132_010336_000500,0-Pass1,1,random_5mindur_summer2017,random-1,
122,309,25,M-F29-C01,8787,M-F29-C01_094054_012258_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,
123,34,4,M-F29-C01,8787,M-F29-C01_095607_013811_000500,0-Pass1,1,random_5mindur_summer2017,random-2,
124,310,26,M-F29-C01,8787,M-F29-C01_104828_023032_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-2,dropped because included in extension: M-F29-C01_104828_023032.mp4
125,319,35,M-F29-C01,8787,M-F29-C01_104828_023032_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-2,(inclusive) extension of M-F29-C01_104828_023032.mp4
126,311,27,M-F29-C01,8787,M-F29-C01_105608_023812_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,
127,84,9,M-F29-C01,8787,M-F29-C01_114421_032625_000500,No speech,1,random_5mindur_summer2017,random-3,
