Row,OverallOrder,ChildIntOrder,Child,aclew_id,old_media_name,Status,Include,Sample,CodeName,Notes,start.hhmmss,newoffset,Media
82,32,4,M-F17-C01,2109,M-F17-C01_095919_010512_000500,0-Pass1,1,random_5mindur_summer2017,random-2,NA,095919,094908,M-F17-C01_094908_010512_000500
83,287,25,M-F17-C01,2109,M-F17-C01_100609_011202_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,NA,100609,095558,M-F17-C01_095558_011202_000100
84,64,7,M-F17-C01,2109,M-F17-C01_103341_013934_000500,No speech,1,random_5mindur_summer2017,random-3,NA,103341,102330,M-F17-C01_102330_013934_000500
85,52,6,M-F17-C01,2109,M-F17-C01_115654_030247_000500,No speech,1,random_5mindur_summer2017,random-4,NA,115654,114643,M-F17-C01_114643_030247_000500
86,106,11,M-F17-C01,2109,M-F17-C01_125026_035619_000500,0-Pass1,1,random_5mindur_summer2017,random-5,NA,125026,124015,M-F17-C01_124015_035619_000500
87,288,26,M-F17-C01,2109,M-F17-C01_125843_040436_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,NA,125843,124832,M-F17-C01_124832_040436_000100
88,289,27,M-F17-C01,2109,M-F17-C01_131200_041753_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,NA,131200,130149,M-F17-C01_130149_041753_000100
89,297,35,M-F17-C01,2109,M-F17-C01_131313_041906_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-3,(inclusive) extension of M-F17-C01_131800_042353.mp4,131313,130302,M-F17-C01_130302_041906_000600
90,290,28,M-F17-C01,2109,M-F17-C01_131800_042353_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-3,dropped because included in extension: M-F17-C01_131313_041906.mp4,131800,130749,M-F17-C01_130749_042353_000100
91,30,3,M-F17-C01,2109,M-F17-C01_135532_050125_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,NA,135532,134521,M-F17-C01_134521_050125_000500
92,291,29,M-F17-C01,2109,M-F17-C01_143018_053611_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,NA,143018,142007,M-F17-C01_142007_053611_000100
93,155,16,M-F17-C01,2109,M-F17-C01_151202_061755_000500,0-Pass1,1,random_5mindur_summer2017,random-7,NA,151202,150151,M-F17-C01_150151_061755_000500
94,292,30,M-F17-C01,2109,M-F17-C01_151702_062255_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,NA,151702,150651,M-F17-C01_150651_062255_000100
95,293,31,M-F17-C01,2109,M-F17-C01_153945_064538_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,NA,153945,152934,M-F17-C01_152934_064538_000100
96,294,32,M-F17-C01,2109,M-F17-C01_154329_064922_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,NA,154329,153318,M-F17-C01_153318_064922_000100
97,295,33,M-F17-C01,2109,M-F17-C01_155407_070000_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,NA,155407,154356,M-F17-C01_154356_070000_000100
98,11,2,M-F17-C01,2109,M-F17-C01_165923_080516_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,NA,165923,164912,M-F17-C01_164912_080516_000500
99,296,34,M-F17-C01,2109,M-F17-C01_172605_083158_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,NA,172605,171554,M-F17-C01_171554_083158_000100
100,168,17,M-F17-C01,2109,M-F17-C01_174100_084653_000500,1-XunPt1,1,random_5mindur_summer2017,random-9,NA,174100,173049,M-F17-C01_173049_084653_000500
101,298,25,M-F19-C01,6216,M-F19-C01_095444_001426_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,NA,095444,093414,M-F19-C01_093414_001426_000100
102,207,21,M-F19-C01,6216,M-F19-C01_100625_002607_000500,0-Pass1,1,random_5mindur_summer2017,random-1,NA,100625,094555,M-F19-C01_094555_002607_000500
103,62,7,M-F19-C01,6216,M-F19-C01_103621_005603_000500,0-Pass1,1,random_5mindur_summer2017,random-2,NA,103621,101551,M-F19-C01_101551_005603_000500
104,299,26,M-F19-C01,6216,M-F19-C01_105444_011426_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,NA,105444,103414,M-F19-C01_103414_011426_000100
105,300,27,M-F19-C01,6216,M-F19-C01_112641_014623_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-3,dropped because included in extension: M-F19-C01_112641_014623.mp4,112641,110611,M-F19-C01_110611_014623_000100
106,308,35,M-F19-C01,6216,M-F19-C01_112641_014623_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-3,(inclusive) extension of M-F19-C01_112641_014623.mp4,112641,110611,M-F19-C01_110611_014623_000600
107,87,9,M-F19-C01,6216,M-F19-C01_114453_020435_000500,0-Pass1,1,random_5mindur_summer2017,random-3,NA,114453,112423,M-F19-C01_112423_020435_000500
108,301,28,M-F19-C01,6216,M-F19-C01_115148_021130_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,NA,115148,113118,M-F19-C01_113118_021130_000100
109,302,29,M-F19-C01,6216,M-F19-C01_120818_022800_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,NA,120818,114748,M-F19-C01_114748_022800_000100
110,80,8,M-F19-C01,6216,M-F19-C01_133220_035202_000500,0-Pass1,1,random_5mindur_summer2017,random-4,NA,133220,131150,M-F19-C01_131150_035202_000500
111,33,4,M-F19-C01,6216,M-F19-C01_133915_035857_000500,No speech,1,random_5mindur_summer2017,random-5,NA,133915,131845,M-F19-C01_131845_035857_000500
112,303,30,M-F19-C01,6216,M-F19-C01_141613_043555_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,NA,141613,135543,M-F19-C01_135543_043555_000100
113,304,31,M-F19-C01,6216,M-F19-C01_143646_045628_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,NA,143646,141616,M-F19-C01_141616_045628_000100
114,15,2,M-F19-C01,6216,M-F19-C01_144426_050408_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,NA,144426,142356,M-F19-C01_142356_050408_000500
115,8,1,M-F19-C01,6216,M-F19-C01_145323_051305_000500,1-XunPt1,1,random_5mindur_summer2017,random-7,NA,145323,143253,M-F19-C01_143253_051305_000500
116,55,6,M-F19-C01,6216,M-F19-C01_161742_063724_000500,0-Pass1,1,random_5mindur_summer2017,random-8,NA,161742,155712,M-F19-C01_155712_063724_000500
